Group,L0_G,L0_L,L0_R,L10_G,L10_L,L10_R,L11_G,L11_L,L11_R,L12_G,L12_L,L12_R,L13_G,L13_L,L13_R,L14_G,L14_L,L14_R,L16_G,L16_L,L16_R,L17_G,L17_L,L18_G,L18_L,L18_R,L19_G,L19_L,L19_R,L1_G,L1_L,L1_R,L20_G,L20_L,L20_R,L2_L,L2_R,L3_G,L3_L,L3_R,L4_G,L4_L,L5_L,L5_R,L6_G,L6_L,L6_R,L7_L,L8_G,L8_L,L8_R,L9_G,L9_L,L9_R,S16_G,S16_R,S17_G,S17_R,S18_G,S18_R,S19_G,S19_R,S20_1_G,S20_1_R,S20_2_G,S20_2_R,S20_3_G,S20_3_R,S20_4_G,S20_4_R
Otu000001,0.19999289693628028,0.28411405295315684,0.39049586776859502,0.27158050351237822,0.21524201853759012,0.39043381535038935,0.17463467845792779,0.16806722689075632,0.34058759521218718,0.13049792638538685,0.19364754098360656,0.39251336898395722,0.12180146123299844,0.17801547310021887,0.092397660818713451,0.27153582550068905,0.24532224532224534,0.36099137931034481,0.221,0.12350597609561753,0.10269192422731804,0.16633537219867517,0.13360323886639677,0.23911028730305839,0.15572967678746327,0.10980392156862745,0.27884615384615385,0.29644268774703558,0.13194444444444445,0.1431209398359895,0.16494845360824742,0.16237623762376238,0.43473435317994574,0.32722007722007723,0.2450199203187251,0.027698185291308502,0.083700440528634359,0.01895306859205776,0.24003887269193391,0.0,0.27933036193689881,0.16144814090019569,0.13104089219330856,0.24444444444444444,0.36270871985157699,0.30292792792792794,0.0888671875,0.38267875125881168,0.11812627291242363,0.17740336967294351,0.28222222222222221,0.26523948959764315,0.069196428571428575,0.32314410480349343,0.076397712207283849,0.23062015503875968,0.10001619892593061,0.20118929633300298,0.0304661312045275,0.12582159624413145,0.024741729860424222,0.1379638439581351,0.037279187591109535,0.065071770334928225,0.014834921388146424,0.1814780168381665,0.0099133697574746507,0.063567362428842505,0.016561217546063652,0.16318785578747627
Otu000002,0.18590628338878326,0.0010183299389002036,0.089876033057851246,0.11063412360806053,0.0,0.071190211345939933,0.21682557364559665,0.0,0.12295973884657237,0.26961736071919823,0.0,0.039572192513368985,0.14206364468467472,0.0,0.069005847953216376,0.11652787859334557,0.0,0.042025862068965518,0.14599999999999999,0.0,0.050847457627118647,0.24490342884698357,0.0,0.30861909175162189,0.0,0.029411764705882353,0.12692307692307692,0.0,0.048611111111111112,0.046133862176642927,0.034020618556701028,0.0079207920792079209,0.19286912327976272,0.0,0.053784860557768925,0.0,0.0026431718061674008,0.10280488616590017,0.0,0.0,0.046244172394042556,0.00097847358121330719,0.0,0.021333333333333333,0.20500927643784786,0.10585585585585586,0.0,0.0,0.20875763747454176,0.0,0.18222222222222223,0.11129940292593114,0.0,0.056768558951965066,0.17821374831154527,0.059108527131782947,0.11831622695553279,0.10802775024777007,0.076958162074989192,0.2131455399061033,0.025392311556999985,0.25023786869647957,0.0006552577755109401,0.018181818181818181,0.0058403712367600018,0.15434985968194576,0.041998119251371369,0.36337760910815942,0.071922660175879394,0.38899430740037949
Otu000003,0.0,0.0,0.0,0.0065838099541304903,0.0010298661174047373,0.0022246941045606229,0.0025789763942191731,0.0056022408963585435,0.001088139281828074,0.019494825024205114,0.0,0.0010695187165775401,0.00035650623885918003,0.0015518908739247722,0.0,0.0014360562306042093,0.0,0.0,0.025999999999999999,0.0,0.00099700897308075765,0.0068617547777975185,0.0010121457489878543,0.0064874884151992582,0.014691478942213516,0.00098039215686274508,0.0057692307692307696,0.0029644268774703555,0.0,0.0,0.0,0.00099009900990099011,0.0067618173744260707,0.0019305019305019305,0.00099601593625498006,0.0,0.000881057268722467,0.0018050541516245488,0.0,0.0,0.0086244478760839401,0.0,0.0092936802973977699,0.0017777777777777779,0.0,0.0090090090090090089,0.1279296875,0.0,0.0020366598778004071,0.00099108027750247768,0.0,0.0030474514425948944,0.005580357142857143,0.0021834061135371178,0.111088423644226,0.0096899224806201549,0.17190799054645392,0.0,0.052967449828435376,0.0075117370892018778,0.10562090810607132,0.00095147478591817321,0.20525124004776538,0.0,0.32295399662200791,0.0,0.18915685323387163,0.0018975332068311196,0.1003404653475712,0.0
Otu000004,0.0,0.0,0.0,0.0,0.0010298661174047373,0.0,0.0,0.0037348272642390291,0.0,0.00046339202965708991,0.0010245901639344263,0.0,0.0,0.0080037664783427498,0.0,0.0,0.0020790020790020791,0.0,0.001,0.02091633466135458,0.0,0.0014634146341463415,0.0030364372469635628,0.0,0.00097943192948090111,0.0,0.0,0.0,0.0,0.0061884441563585949,0.0,0.0089108910891089101,0.0016097831593535328,0.00096525096525096527,0.0,0.0,0.0044052863436123352,0.0,0.0,0.0,0.010106917493410798,0.0,0.0037174721189591076,0.0,0.00092764378478664194,0.0,0.0029296875,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0011160714285714285,0.0010917030567685589,0.067073443965091642,0.0067829457364341084,0.030751343032482021,0.0,0.063894886727069222,0.0065727699530516428,0.088432009796994948,0.010466222645099905,0.33040960019941562,0.17033492822966506,0.270755634097326,0.065481758652946684,0.17070387140333454,0.050284629981024669,0.055332443467336678,0.023719165085388995
Otu000005,0.0,0.0,0.0,0.004399598942757846,0.0,0.0,0.0051521310895851942,0.0,0.0,0.008364787038139667,0.0,0.0,0.01394458067682351,0.0,0.0,0.0089330971266145098,0.0,0.0,0.0080000000000000002,0.00099601593625498006,0.0,0.0070566736884850635,0.0010121457489878543,0.0064874884151992582,0.0068560235063663075,0.0,0.0019230769230769232,0.0,0.0,0.0036014405762304926,0.0,0.0,0.0067562266959506484,0.011583011583011582,0.0,0.0,0.0,0.0,0.0,0.0,0.14631287108141675,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0,0.0,0.0020366598778004071,0.0,0.0,0.0010306609315486367,0.0,0.0,0.17648043034029329,0.0,0.084172115278109305,0.0,0.14139020409092795,0.022535211267605635,0.12702828411285386,0.0,0.019889631678286421,0.00095693779904306223,0.025355217196812649,0.0,0.11053612534099837,0.0,0.086408723304020107,0.0
Otu000006,0.0,0.0,0.0,0.0010727254451103824,0.0010298661174047373,0.0011123470522803114,0.00063892853490962233,0.0074696545284780582,0.0,0.0,0.0,0.0010695187165775401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011464273496359057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019436345966958211,0.0,0.00033738191632928474,0.0,0.00092936802973977691,0.0,0.00092764378478664194,0.0011261261261261261,0.0009765625,0.0,0.0,0.00099108027750247768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otu000007,0.051229004877209695,0.0,0.025826446280991736,0.05958191708749281,0.0,0.0,0.0068279594684650669,0.0,0.0,0.0055671763116065471,0.0,0.0,0.14338920032750987,0.0,0.0,0.04571323485257911,0.0,0.0,0.02,0.0,0.0,0.023186721149209409,0.0,0.014828544949026877,0.0,0.0,0.00096153846153846159,0.0,0.0,0.06949336208312526,0.0,0.0039603960396039604,0.00032268473701193933,0.0,0.0,0.0,0.0,0.02947634412351071,0.0,0.0,0.019685617734986439,0.0,0.0,0.0,0.0,0.11824324324324324,0.0,0.0,0.0,0.0,0.0,0.001017293997965412,0.0,0.0,0.076919356608203399,0.0,0.11870872031902487,0.0,0.075846602203790678,0.011267605633802818,0.11649729954626097,0.0,0.05078076106965157,0.0,0.062394567531309703,0.0018709073900841909,0.076664405179788203,0.0,0.13507730056532663,0.0
Otu000008,0.00038491147036181676,0.0010183299389002036,0.0010330578512396695,0.0,0.22142121524201855,0.0,0.0,0.070961718020541548,0.0,0.0,0.28278688524590162,0.0,0.0,0.021272967883137376,0.0,0.0,0.098752598752598758,0.0,0.0,0.0079681274900398405,0.00099700897308075765,0.0,0.19028340080971659,0.0,0.048971596474045052,0.0,0.0,0.13142292490118576,0.0,0.00086631530481797857,0.10412371134020619,0.0,0.0,0.013513513513513514,0.0,0.58930276981852914,0.000881057268722467,0.002707581227436823,0.49173955296404276,0.0,0.0,0.45205479452054792,0.24907063197026022,0.0,0.0,0.0,0.046875,0.17522658610271905,0.0,0.22596630327056491,0.0,0.0,0.0859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otu000009,0.00038491147036181676,0.0,0.0,0.025870969397133851,0.0,0.042269187986651836,0.062186803691088859,0.0,0.01088139281828074,0.018615501973515032,0.0,0.033155080213903745,0.009143772919251893,0.0,0.02456140350877193,0.001069755864303843,0.0,0.084051724137931036,0.0080000000000000002,0.0,0.21136590229312063,0.0020811654526534861,0.0,0.0064874884151992582,0.0,0.23137254901960785,0.0028846153846153848,0.0,0.16369047619047619,0.021675483783963542,0.0,0.0,0.0038705914161644545,0.0,0.091633466135458169,0.0,0.010572687224669603,0.0,0.0,0.0,0.01350211342254617,0.0,0.0,0.0080000000000000002,0.0092764378478664197,0.0011261261261261261,0.0,0.0,0.010183299389002037,0.0,0.0,0.13158598302885058,0.0,0.069868995633187769,0.0048584922013736676,0.00096899224806201549,0.0035579393718144932,0.00099108027750247768,0.0016579994556256935,0.0065727699530516428,0.0052821738652599178,0.0085632730732635581,0.0,0.0,0.00032237266279819472,0.0,0.0039605108338331549,0.0,0.051028698178391958,0.0066413662239089184
Otu000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035650623885918003,0.0,0.0,0.00070345549800347686,0.0,0.0,0.039,0.0,0.0,0.002991802238521865,0.0,0.0064874884151992582,0.0,0.0,0.010576923076923078,0.0,0.0,0.0,0.0,0.0,0.0019436492533163163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068738572140603638,0.0,0.0062264746910076245,0.0,0.00097087378640776706,0.0,0.0046227607429387843,0.0,0.0080889559463060614,0.0,0.0031570080882805745,0.0,0.0019815459393200461,0.0,0.0039866127512562808,0.0
